#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         334     1.80324     1.80105 5.24992e-05
         335     1.80326     1.80106 5.27566e-05
         336     1.80328     1.80106 5.30147e-05
         337     1.80331     1.80107 5.32733e-05
         338     1.80333     1.80108 5.35326e-05
         339     1.80335     1.80108 5.37924e-05
         340     1.80337     1.80109 5.40528e-05
         341     1.80339      1.8011 5.43139e-05
         342     1.80341      1.8011 5.45755e-05
         343     1.80343     1.80111 5.48378e-05
         344     1.80346     1.80112 5.51006e-05
         345     1.80348     1.80112 5.53641e-05
         346      1.8035     1.80113 5.56282e-05
         347     1.80352     1.80114 5.58929e-05
         348     1.80354     1.80114 5.61582e-05
         349     1.80357     1.80115 5.64241e-05
         350     1.80359     1.80116 5.66906e-05
         351     1.80361     1.80117 5.69577e-05
         352     1.80363     1.80117 5.72254e-05
         353     1.80365     1.80118 5.74938e-05
         354     1.80368     1.80119 5.77628e-05
         355      1.8037     1.80119 5.80323e-05
         356     1.80372      1.8012 5.83025e-05
         357     1.80375     1.80121 5.85734e-05
         358     1.80377     1.80122 5.88448e-05
         359     1.80379     1.80122 5.91168e-05
         360     1.80381     1.80123 5.93895e-05
         361     1.80384     1.80124 5.96628e-05
         362     1.80386     1.80124 5.99367e-05
         363     1.80388     1.80125 6.02112e-05
         364     1.80391     1.80126 6.04864e-05
         365     1.80393     1.80127 6.07621e-05
         366     1.80395     1.80127 6.10385e-05
         367     1.80398     1.80128 6.13155e-05
         368       1.804     1.80129 6.15932e-05
         369     1.80403      1.8013 6.18714e-05
         370     1.80405      1.8013 6.21503e-05
         371     1.80407     1.80131 6.24299e-05
         372      1.8041     1.80132   6.271e-05
         373     1.80412     1.80133 6.29908e-05
         374     1.80415     1.80133 6.32722e-05
         375     1.80417     1.80134 6.35542e-05
         376     1.80419     1.80135 6.38369e-05
         377     1.80422     1.80136 6.41202e-05
         378     1.80424     1.80136 6.44041e-05
         379     1.80427     1.80137 6.46887e-05
         380     1.80429     1.80138 6.49739e-05
         381     1.80432     1.80139 6.52597e-05
         382     1.80434     1.80139 6.55462e-05
         383     1.80437      1.8014 6.58334e-05
         384     1.80439     1.80141 6.61211e-05
         385     1.80442     1.80142 6.64095e-05
         386     1.80444     1.80143 6.66986e-05
         387     1.80447     1.80143 6.69883e-05
         388     1.80449     1.80144 6.72787e-05
         389     1.80452     1.80145 6.75697e-05
         390     1.80455     1.80146 6.78613e-05
         391     1.80457     1.80146 6.81536e-05
         392      1.8046     1.80147 6.84466e-05
         393     1.80462     1.80148 6.87402e-05
         394     1.80465     1.80149 6.90345e-05
         395     1.80468      1.8015 6.93294e-05
         396      1.8047     1.80151  6.9625e-05
         397     1.80473     1.80151 6.99213e-05
         398     1.80475     1.80152 7.02182e-05
         399     1.80478     1.80153 7.05157e-05
         400     1.80481     1.80154  7.0814e-05
         401     1.80483     1.80155 7.11129e-05
         402     1.80486     1.80155 7.14124e-05
         403     1.80489     1.80156 7.17127e-05
         404     1.80491     1.80157 7.20136e-05
         405     1.80494     1.80158 7.23151e-05
         406     1.80497     1.80159 7.26174e-05
         407       1.805      1.8016 7.29203e-05
         408     1.80502      1.8016 7.32239e-05
         409     1.80505     1.80161 7.35281e-05
         410     1.80508     1.80162 7.38331e-05
         411     1.80511     1.80163 7.41387e-05
         412     1.80513     1.80164  7.4445e-05
         413     1.80516     1.80165  7.4752e-05
         414     1.80519     1.80166 7.50596e-05
         415     1.80522     1.80166  7.5368e-05
         416     1.80525     1.80167  7.5677e-05
         417     1.80527     1.80168 7.59867e-05
         418      1.8053     1.80169 7.62971e-05
         419     1.80533      1.8017 7.66082e-05
         420     1.80536     1.80171 7.69199e-05
         421     1.80539     1.80172 7.72324e-05
         422     1.80542     1.80172 7.75455e-05
         423     1.80544     1.80173 7.78594e-05
         424     1.80547     1.80174 7.81739e-05
         425      1.8055     1.80175 7.84891e-05
         426     1.80553     1.80176 7.88051e-05
         427     1.80556     1.80177 7.91217e-05
         428     1.80559     1.80178  7.9439e-05
         429     1.80562     1.80179 7.97571e-05
         430     1.80565      1.8018 8.00758e-05
         431     1.80568      1.8018 8.03953e-05
         432     1.80571     1.80181 8.07155e-05
         433     1.80574     1.80182 8.10364e-05
         434     1.80577     1.80183  8.1358e-05
         435      1.8058     1.80184 8.16803e-05
         436     1.80583     1.80185 8.20033e-05
         437     1.80586     1.80186 8.23271e-05
         438     1.80589     1.80187 8.26515e-05
         439     1.80592     1.80188 8.29767e-05
         440     1.80595     1.80189 8.33026e-05
         441     1.80598      1.8019 8.36293e-05
         442     1.80601     1.80191 8.39567e-05
         443     1.80604     1.80191 8.42848e-05
         444     1.80607     1.80192 8.46136e-05
         445      1.8061     1.80193 8.49431e-05
         446     1.80613     1.80194 8.52734e-05
         447     1.80617     1.80195 8.56044e-05
         448      1.8062     1.80196 8.59362e-05
         449     1.80623     1.80197 8.62687e-05
         450     1.80626     1.80198 8.66019e-05
         451     1.80629     1.80199 8.69359e-05
         452     1.80632       1.802 8.72706e-05
         453     1.80636     1.80201  8.7606e-05
         454     1.80639     1.80202 8.79422e-05
         455     1.80642     1.80203 8.82791e-05
         456     1.80645     1.80204 8.86168e-05
         457     1.80648     1.80205 8.89552e-05
         458     1.80652     1.80206 8.92944e-05
         459     1.80655     1.80207 8.96343e-05
         460     1.80658     1.80208  8.9975e-05
         461     1.80661     1.80209 9.03164e-05
         462     1.80665      1.8021 9.06586e-05
         463     1.80668     1.80211 9.10015e-05
         464     1.80671     1.80212 9.13453e-05
         465     1.80675     1.80213 9.16897e-05
         466     1.80678     1.80214  9.2035e-05
         467     1.80681     1.80215  9.2381e-05
         468     1.80685     1.80216 9.27277e-05
         469     1.80688     1.80217 9.30752e-05
         470     1.80691     1.80218 9.34236e-05
         471     1.80695     1.80219 9.37726e-05
         472     1.80698      1.8022 9.41225e-05
         473     1.80702     1.80221 9.44731e-05
         474     1.80705     1.80222 9.48245e-05
         475     1.80708     1.80223 9.51767e-05
         476     1.80712     1.80224 9.55296e-05
         477     1.80715     1.80225 9.58834e-05
         478     1.80719     1.80226 9.62379e-05
         479     1.80722     1.80227 9.65932e-05
         480     1.80726     1.80228 9.69493e-05
         481     1.80729     1.80229 9.73062e-05
         482     1.80733      1.8023 9.76639e-05
         483     1.80736     1.80231 9.80223e-05
         484      1.8074     1.80232 9.83816e-05
         485     1.80743     1.80233 9.87417e-05
         486     1.80747     1.80234 9.91025e-05
         487      1.8075     1.80235 9.94642e-05
         488     1.80754     1.80236 9.98266e-05
         489     1.80758     1.80237  0.00010019
         490     1.80761     1.80239 0.000100554
         491     1.80765      1.8024 0.000100919
         492     1.80768     1.80241 0.000101284
         493     1.80772     1.80242 0.000101651
         494     1.80776     1.80243 0.000102018
         495     1.80779     1.80244 0.000102386
         496     1.80783     1.80245 0.000102755
         497     1.80787     1.80246 0.000103125
         498      1.8079     1.80247 0.000103496
         499     1.80794     1.80248 0.000103867
         500     1.80798     1.80249 0.000104239
         501     1.80802     1.80251 0.000104612
         502     1.80805     1.80252 0.000104986
         503     1.80809     1.80253 0.000105361
         504     1.80813     1.80254 0.000105736
         505     1.80817     1.80255 0.000106113
         506      1.8082     1.80256  0.00010649
         507     1.80824     1.80257 0.000106868
         508     1.80828     1.80258 0.000107247
         509     1.80832     1.80259 0.000107626
         510     1.80836     1.80261 0.000108007
         511      1.8084     1.80262 0.000108388
         512     1.80843     1.80263 0.000108771
         513     1.80847     1.80264 0.000109154
         514     1.80851     1.80265 0.000109538
         515     1.80855     1.80266 0.000109923
         516     1.80859     1.80267 0.000110308
         517     1.80863     1.80269 0.000110695
         518     1.80867      1.8027 0.000111082
         519     1.80871     1.80271  0.00011147
         520     1.80875     1.80272 0.000111859
         521     1.80879     1.80273 0.000112249
         522     1.80883     1.80274  0.00011264
         523     1.80887     1.80276 0.000113032
         524     1.80891     1.80277 0.000113425
         525     1.80895     1.80278 0.000113818
         526     1.80899     1.80279 0.000114213
         527     1.80903      1.8028 0.000114608
         528     1.80907     1.80281 0.000115004
         529     1.80911     1.80283 0.000115401
         530     1.80915     1.80284 0.000115799
         531     1.80919     1.80285 0.000116198
         532     1.80924     1.80286 0.000116597
         533     1.80928     1.80287 0.000116998
         534     1.80932     1.80289 0.000117399
         535     1.80936      1.8029 0.000117802
         536      1.8094     1.80291 0.000118205
         537     1.80944     1.80292 0.000118609
         538     1.80949     1.80294 0.000119014
         539     1.80953     1.80295  0.00011942
         540     1.80957     1.80296 0.000119827
         541     1.80961     1.80297 0.000120235
         542     1.80965     1.80298 0.000120644
         543      1.8097       1.803 0.000121054
         544     1.80974     1.80301 0.000121464
         545     1.80978     1.80302 0.000121876
         546     1.80983     1.80303 0.000122288
         547     1.80987     1.80305 0.000122701
         548     1.80991     1.80306 0.000123116
         549     1.80996     1.80307 0.000123531
         550        1.81     1.80308 0.000123947
         551     1.81004      1.8031 0.000124364
         552     1.81009     1.80311 0.000124782
         553     1.81013     1.80312 0.000125201
         554     1.81018     1.80313 0.000125621
         555     1.81022     1.80315 0.000126042
         556     1.81027     1.80316 0.000126464
         557     1.81031     1.80317 0.000126887
         558     1.81036     1.80319  0.00012731
         559      1.8104      1.8032 0.000127735
         560     1.81045     1.80321 0.000128161
         561     1.81049     1.80322 0.000128587
         562     1.81054     1.80324 0.000129015
         563     1.81058     1.80325 0.000129443
         564     1.81063     1.80326 0.000129873
         565     1.81067     1.80328 0.000130303
         566     1.81072     1.80329 0.000130735
         567     1.81077      1.8033 0.000131167
         568     1.81081     1.80332   0.0001316
         569     1.81086     1.80333 0.000132035
         570      1.8109     1.80334  0.00013247
         571     1.81095     1.80336 0.000132907
         572       1.811     1.80337 0.000133344
         573     1.81104     1.80338 0.000133782
         574     1.81109      1.8034 0.000134222
         575     1.81114     1.80341 0.000134662
         576     1.81119     1.80342 0.000135103
         577     1.81123     1.80344 0.000135545
         578     1.81128     1.80345 0.000135989
         579     1.81133     1.80346 0.000136433
         580     1.81138     1.80348 0.000136878
         581     1.81143     1.80349 0.000137325
         582     1.81147     1.80351 0.000137772
         583     1.81152     1.80352 0.000138221
         584     1.81157     1.80353  0.00013867
         585     1.81162     1.80355  0.00013912
         586     1.81167     1.80356 0.000139572
         587     1.81172     1.80357 0.000140024
         588     1.81177     1.80359 0.000140478
         589     1.81182      1.8036 0.000140933
         590     1.81187     1.80362 0.000141388
         591     1.81192     1.80363 0.000141845
         592     1.81197     1.80364 0.000142302
         593     1.81202     1.80366 0.000142761
         594     1.81207     1.80367 0.000143221
         595     1.81212     1.80369 0.000143682
         596     1.81217      1.8037 0.000144144
         597     1.81222     1.80372 0.000144607
         598     1.81227     1.80373 0.000145071
         599     1.81232     1.80374 0.000145536
         600     1.81237     1.80376 0.000146002
         601     1.81242     1.80377 0.000146469
         602     1.81248     1.80379 0.000146937
         603     1.81253      1.8038 0.000147407
         604     1.81258     1.80382 0.000147877
         605     1.81263     1.80383 0.000148348
         606     1.81268     1.80385 0.000148821
         607     1.81274     1.80386 0.000149295
         608     1.81279     1.80388 0.000149769
         609     1.81284     1.80389 0.000150245
         610     1.81289      1.8039 0.000150722
         611     1.81295     1.80392   0.0001512
         612       1.813     1.80393 0.000151679
