#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         690     2437.02     2609.51     21.0619
         691     2436.99     2609.26     21.0329
         692     2436.19     2609.01      21.004
         693     2436.07     2608.76     20.9752
         694     2435.81     2608.51     20.9464
         695     2435.61     2608.26     20.9178
         696     2435.26     2608.01     20.8892
         697     2435.18     2607.76     20.8607
         698     2434.76     2607.51     20.8323
         699      2434.6     2607.27     20.8039
         700     2434.52     2607.02     20.7757
         701      2434.5     2606.77     20.7475
         702     2434.55     2606.53     20.7194
         703     2434.46     2606.28     20.6914
         704     2435.06     2606.04     20.6634
         705     2435.31      2605.8     20.6355
         706     2435.84     2605.56     20.6077
         707     2436.02     2605.32     20.5799
         708     2436.48     2605.08     20.5523
         709     2437.21     2604.84     20.5246
         710     2438.01     2604.61     20.4971
         711     2438.46     2604.37     20.4696
         712     2438.97     2604.14     20.4421
         713     2439.76     2603.91     20.4148
         714     2440.61     2603.68     20.3875
         715     2441.53     2603.46     20.3602
         716     2442.72     2603.23      20.333
         717     2443.76     2603.01     20.3059
         718     2444.87     2602.79     20.2788
         719     2446.04     2602.57     20.2517
         720     2447.26     2602.36     20.2248
         721     2448.13     2602.14     20.1978
         722     2449.68     2601.93      20.171
         723     2450.88     2601.72     20.1442
         724     2452.54     2601.52     20.1174
         725     2454.26     2601.31     20.0907
         726     2456.45     2601.11      20.064
         727     2457.86     2600.92     20.0374
         728     2459.73     2600.72     20.0108
         729     2461.45     2600.53     19.9842
         730     2463.21     2600.34     19.9577
         731     2465.03     2600.16     19.9313
         732     2466.89     2599.98     19.9049
         733      2469.2      2599.8     19.8785
         734     2471.36     2599.62     19.8522
         735     2473.55     2599.45      19.826
         736     2475.16     2599.28     19.7997
         737     2477.23     2599.12     19.7736
         738     2479.53     2598.95     19.7474
         739     2482.08      2598.8     19.7214
         740     2484.46     2598.64     19.6953
         741     2486.45     2598.49     19.6693
         742     2488.68     2598.34     19.6434
         743     2490.93      2598.2     19.6175
         744     2493.01     2598.06     19.5916
         745      2495.1     2597.92     19.5658
         746     2497.43     2597.78       19.54
         747     2499.77     2597.65     19.5143
         748     2501.92     2597.52     19.4886
         749     2504.09      2597.4      19.463
         750     2506.68     2597.28     19.4374
         751     2508.03     2597.16     19.4119
         752     2510.63     2597.04     19.3864
         753     2512.62     2596.93      19.361
         754     2515.01     2596.82     19.3357
         755      2517.2     2596.72     19.3103
         756      2519.6     2596.62     19.2851
         757     2521.98     2596.52     19.2598
         758     2524.77     2596.42     19.2347
         759     2526.92     2596.33     19.2095
         760     2529.26     2596.24     19.1845
         761     2531.79     2596.16     19.1594
         762     2533.88     2596.08     19.1345
         763     2536.15        2596     19.1096
         764      2538.6     2595.92     19.0847
         765     2540.81     2595.85     19.0599
         766     2542.99     2595.78     19.0351
         767     2545.13     2595.72     19.0104
         768     2547.43     2595.65     18.9858
         769     2549.28     2595.59     18.9612
         770     2551.08     2595.53     18.9366
         771     2553.04     2595.48     18.9122
         772     2554.74     2595.43     18.8877
         773      2556.8     2595.38     18.8634
         774     2558.81     2595.33     18.8391
         775     2560.34     2595.28     18.8148
         776     2562.02     2595.24     18.7906
         777     2563.63      2595.2     18.7665
         778     2565.39     2595.16     18.7424
         779     2566.66     2595.13     18.7184
         780     2568.08     2595.09     18.6944
