#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         365    0.651985    0.591647    0.013039
         366    0.653401    0.591815   0.0130045
         367      0.6548    0.591987   0.0129702
         368    0.656178    0.592161   0.0129361
         369    0.657536    0.592339   0.0129023
         370    0.658872    0.592518   0.0128686
         371    0.660186    0.592701   0.0128352
         372    0.661477    0.592886   0.0128021
         373    0.662745    0.593073   0.0127691
         374    0.663989    0.593263   0.0127364
         375    0.665209    0.593454   0.0127039
         376    0.666402    0.593648   0.0126716
         377    0.667568    0.593844   0.0126395
         378    0.668707    0.594043   0.0126076
         379     0.66982    0.594242   0.0125759
         380    0.670905    0.594444   0.0125444
         381    0.671961    0.594648   0.0125131
         382    0.672988    0.594853   0.0124821
         383    0.673984    0.595059   0.0124512
         384    0.674949    0.595267   0.0124205
         385    0.675883    0.595477     0.01239
         386    0.676785    0.595687   0.0123597
         387    0.677656    0.595899   0.0123296
         388    0.678495    0.596112   0.0122996
         389    0.679302    0.596326   0.0122699
         390    0.680074    0.596541   0.0122403
         391    0.680812    0.596756   0.0122109
         392    0.681516    0.596972   0.0121817
         393    0.682185    0.597189   0.0121526
         394    0.682819    0.597407   0.0121237
         395    0.683418    0.597624   0.0120949
         396    0.683981    0.597842   0.0120664
         397    0.684509    0.598061   0.0120379
         398    0.684999    0.598279   0.0120097
         399    0.685454    0.598498   0.0119816
         400    0.685872    0.598716   0.0119536
         401    0.686252    0.598934   0.0119258
         402    0.686594    0.599152   0.0118981
         403    0.686897     0.59937   0.0118706
         404    0.687163    0.599587   0.0118432
         405     0.68739    0.599804   0.0118159
         406    0.687578     0.60002   0.0117888
         407    0.687729    0.600236   0.0117618
         408    0.687839    0.600451   0.0117349
         409     0.68791    0.600665   0.0117082
         410    0.687941    0.600877   0.0116816
         411    0.687932    0.601089   0.0116551
         412    0.687883      0.6013   0.0116287
         413    0.687794    0.601509   0.0116024
         414    0.687666    0.601717   0.0115763
         415    0.687497    0.601924   0.0115502
         416    0.687287    0.602129   0.0115243
         417    0.687036    0.602333   0.0114984
         418    0.686745    0.602535   0.0114727
         419    0.686413    0.602735   0.0114471
         420     0.68604    0.602933   0.0114215
         421    0.685628     0.60313   0.0113961
         422    0.685175    0.603324   0.0113707
         423    0.684682    0.603517   0.0113455
         424     0.68415    0.603707   0.0113203
         425    0.683578    0.603895   0.0112952
         426    0.682965     0.60408   0.0112703
         427    0.682314    0.604263   0.0112454
         428    0.681622    0.604444   0.0112205
         429    0.680891    0.604622   0.0111958
         430     0.68012    0.604798   0.0111711
         431     0.67931    0.604971   0.0111465
         432    0.678461    0.605141    0.011122
         433    0.677573    0.605308   0.0110976
         434    0.676645    0.605473   0.0110733
         435    0.675681    0.605634    0.011049
         436    0.674679    0.605792   0.0110248
         437     0.67364    0.605948   0.0110006
         438    0.672564      0.6061   0.0109766
         439    0.671452    0.606249   0.0109526
         440    0.670304    0.606394   0.0109287
         441    0.669121    0.606536   0.0109048
         442    0.667904    0.606675    0.010881
         443    0.666652    0.606811   0.0108573
         444    0.665366    0.606943   0.0108336
         445    0.664045    0.607071   0.0108101
         446    0.662691    0.607196   0.0107865
         447    0.661305    0.607317   0.0107631
         448    0.659886    0.607434   0.0107397
         449    0.658436    0.607548   0.0107164
         450    0.656957    0.607657   0.0106931
         451    0.655449    0.607763   0.0106699
         452    0.653912    0.607865   0.0106468
         453    0.652348    0.607964   0.0106238
         454    0.650758    0.608058   0.0106008
         455    0.649141    0.608148   0.0105779
         456    0.647499    0.608234    0.010555
         457    0.645832    0.608317   0.0105323
         458    0.644141    0.608395   0.0105096
         459    0.642428    0.608469   0.0104869
         460    0.640693    0.608539   0.0104644
         461    0.638939    0.608605   0.0104419
         462    0.637164    0.608667   0.0104194
         463    0.635371    0.608725   0.0103971
         464     0.63356    0.608778   0.0103748
         465    0.631732    0.608827   0.0103526
         466    0.629888    0.608873   0.0103305
         467    0.628029    0.608914   0.0103085
         468    0.626157    0.608951   0.0102865
         469    0.624273    0.608983   0.0102646
         470     0.62238    0.609012   0.0102428
         471    0.620477    0.609036   0.0102211
         472    0.618567    0.609056   0.0101995
         473    0.616651    0.609072   0.0101779
         474    0.614731    0.609084   0.0101565
         475    0.612806    0.609092   0.0101351
         476    0.610879    0.609096   0.0101138
         477    0.608951    0.609096   0.0100926
         478    0.607022    0.609091   0.0100715
         479    0.605094    0.609083   0.0100505
         480    0.603169    0.609071   0.0100295
         481    0.601246    0.609054   0.0100087
         482    0.599328    0.609034  0.00998795
         483    0.597417     0.60901   0.0099673
         484    0.595513    0.608982  0.00994674
         485    0.593618     0.60895  0.00992628
         486    0.591734    0.608915  0.00990592
         487    0.589862    0.608876  0.00988566
         488    0.588003    0.608833  0.00986549
         489     0.58616    0.608787  0.00984543
         490    0.584333    0.608737  0.00982546
         491    0.582523    0.608683   0.0098056
         492    0.580732    0.608627  0.00978583
         493    0.578962    0.608567  0.00976617
         494    0.577213    0.608503   0.0097466
         495    0.575487    0.608436  0.00972714
         496    0.573786    0.608366  0.00970778
         497    0.572112    0.608294  0.00968852
         498    0.570464    0.608218  0.00966936
         499    0.568846    0.608139  0.00965031
         500    0.567257    0.608057  0.00963136
         501      0.5657    0.607972   0.0096125
         502    0.564175    0.607885  0.00959375
         503    0.562683    0.607795   0.0095751
         504    0.561227    0.607703  0.00955654
         505    0.559808    0.607608  0.00953809
         506    0.558426    0.607511  0.00951974
         507    0.557082    0.607411  0.00950148
         508    0.555776     0.60731  0.00948332
         509     0.55451    0.607206  0.00946526
         510    0.553283      0.6071  0.00944729
         511    0.552098    0.606993  0.00942941
         512    0.550954    0.606883  0.00941163
         513    0.549853    0.606772  0.00939394
         514    0.548797    0.606659  0.00937634
         515    0.547785    0.606545  0.00935883
         516    0.546819    0.606429  0.00934141
         517    0.545898    0.606312  0.00932408
         518    0.545023    0.606194  0.00930683
         519    0.544196    0.606074  0.00928966
         520    0.543416    0.605954  0.00927258
         521    0.542682    0.605832  0.00925558
         522    0.541996     0.60571  0.00923865
         523    0.541357    0.605587  0.00922181
         524    0.540766    0.605463  0.00920504
         525    0.540223    0.605339  0.00918834
         526    0.539728    0.605214  0.00917172
         527    0.539282    0.605089  0.00915517
         528    0.538884    0.604964  0.00913869
         529    0.538534    0.604838  0.00912228
         530    0.538232    0.604713  0.00910593
         531    0.537979    0.604587  0.00908965
         532    0.537773    0.604461  0.00907343
         533    0.537615    0.604336  0.00905727
         534    0.537503    0.604211  0.00904118
         535    0.537439    0.604086  0.00902514
         536    0.537419    0.603962  0.00900916
         537    0.537446    0.603838  0.00899323
         538    0.537516    0.603714  0.00897736
         539    0.537631    0.603592  0.00896154
         540    0.537789     0.60347  0.00894578
         541    0.537991    0.603349  0.00893006
         542    0.538235    0.603229  0.00891439
         543     0.53852     0.60311  0.00889877
         544    0.538846    0.602991   0.0088832
         545    0.539211    0.602874  0.00886767
         546    0.539614    0.602759  0.00885219
         547    0.540055    0.602644  0.00883674
         548    0.540533    0.602531  0.00882135
         549    0.541046    0.602419  0.00880599
