#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         553    0.866162     1.02443   0.0130103
         554    0.867382     1.02415   0.0129899
         555     0.86861     1.02387   0.0129695
         556    0.869845     1.02359   0.0129492
         557    0.871084     1.02332   0.0129288
         558    0.872326     1.02305   0.0129085
         559    0.873571     1.02278   0.0128881
         560    0.874817     1.02251   0.0128678
         561    0.876064     1.02225   0.0128476
         562    0.877309       1.022   0.0128273
         563    0.878553     1.02174    0.012807
         564    0.879793     1.02149   0.0127868
         565     0.88103     1.02124   0.0127666
         566    0.882262       1.021   0.0127464
         567    0.883488     1.02075   0.0127262
         568    0.884706     1.02051   0.0127061
         569    0.885917     1.02028   0.0126859
         570     0.88712     1.02004   0.0126658
         571    0.888313     1.01981   0.0126457
         572    0.889495     1.01958   0.0126257
         573    0.890666     1.01936   0.0126057
         574    0.891825     1.01914   0.0125857
         575    0.892971     1.01892   0.0125657
         576    0.894104      1.0187   0.0125457
         577    0.895222     1.01849   0.0125258
         578    0.896326     1.01828   0.0125059
         579    0.897413     1.01807   0.0124861
         580    0.898485     1.01786   0.0124662
         581     0.89954     1.01766   0.0124464
         582    0.900577     1.01746   0.0124267
         583    0.901597     1.01726    0.012407
         584    0.902598     1.01706   0.0123873
         585     0.90358     1.01687   0.0123676
         586    0.904543     1.01668    0.012348
         587    0.905486     1.01649   0.0123284
         588    0.906409      1.0163   0.0123089
         589    0.907311     1.01611   0.0122894
         590    0.908193     1.01593   0.0122699
         591    0.909054     1.01575   0.0122505
         592    0.909893     1.01557   0.0122311
         593     0.91071     1.01539   0.0122117
         594    0.911505     1.01522   0.0121924
         595    0.912278     1.01505   0.0121732
         596    0.913029     1.01488   0.0121539
         597    0.913757     1.01471   0.0121348
         598    0.914463     1.01454   0.0121156
         599    0.915145     1.01437   0.0120965
         600    0.915804     1.01421   0.0120775
         601     0.91644     1.01405   0.0120585
         602    0.917052     1.01388   0.0120395
         603    0.917641     1.01372   0.0120206
         604    0.918205     1.01357   0.0120018
         605    0.918744     1.01341   0.0119829
         606     0.91926     1.01325   0.0119642
         607    0.919751      1.0131   0.0119455
         608    0.920219     1.01295   0.0119268
         609    0.920662      1.0128   0.0119082
         610     0.92108     1.01265   0.0118896
         611    0.921474      1.0125   0.0118711
         612    0.921844     1.01235   0.0118526
         613    0.922189      1.0122   0.0118342
         614    0.922509     1.01206   0.0118158
         615    0.922805     1.01191   0.0117975
         616    0.923076     1.01177   0.0117792
         617    0.923323     1.01162    0.011761
         618    0.923545     1.01148   0.0117428
         619    0.923743     1.01134   0.0117247
         620    0.923917      1.0112   0.0117066
         621    0.924067     1.01106   0.0116886
         622    0.924193     1.01092   0.0116707
         623    0.924296     1.01078   0.0116528
         624    0.924375     1.01064   0.0116349
         625    0.924429      1.0105   0.0116171
         626    0.924461     1.01036   0.0115994
         627    0.924468     1.01023   0.0115817
         628    0.924451     1.01009   0.0115641
         629    0.924411     1.00995   0.0115465
         630    0.924347     1.00982   0.0115289
