#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         512     1799.47     1706.67     16.1066
         513     1801.54     1706.85     16.0763
         514     1803.13     1707.04     16.0461
         515     1804.85     1707.23     16.0161
         516      1806.3     1707.42     15.9862
         517     1807.66     1707.62     15.9564
         518     1809.37     1707.81     15.9268
         519     1811.01     1708.01     15.8974
         520     1812.36     1708.21     15.8681
         521     1813.64     1708.42     15.8389
         522     1814.83     1708.62     15.8099
         523     1816.16     1708.83      15.781
         524     1817.42     1709.03     15.7522
         525     1818.38     1709.24     15.7236
         526     1819.06     1709.45     15.6951
         527     1819.67     1709.66     15.6667
         528      1820.4     1709.87     15.6384
         529     1821.06     1710.08     15.6103
         530     1822.05     1710.29     15.5823
         531     1822.56      1710.5     15.5544
         532     1823.19     1710.71     15.5266
         533     1823.13     1710.92     15.4989
         534      1823.2     1711.13     15.4713
         535      1823.4     1711.34     15.4438
         536     1823.32     1711.55     15.4164
         537     1823.38     1711.76     15.3891
         538     1823.36     1711.97     15.3619
         539     1822.86     1712.17     15.3347
         540      1822.5     1712.38     15.3077
         541     1822.28     1712.58     15.2808
         542     1821.78     1712.78     15.2539
         543      1820.8     1712.98     15.2271
         544     1820.18     1713.18     15.2004
         545     1820.11     1713.38     15.1738
         546     1819.36     1713.57     15.1472
         547     1818.76     1713.76     15.1207
         548      1818.1     1713.95     15.0943
         549     1817.18     1714.14      15.068
         550     1816.62     1714.33     15.0418
         551     1816.01     1714.51     15.0156
         552     1815.14     1714.69     14.9895
         553     1814.42     1714.87     14.9635
         554     1813.46     1715.05     14.9375
         555     1812.45     1715.23     14.9117
         556     1811.39      1715.4     14.8858
         557     1809.88     1715.57     14.8601
         558     1808.54     1715.74     14.8344
         559     1807.57      1715.9     14.8088
         560     1806.57     1716.06     14.7832
         561     1805.75     1716.22     14.7577
         562     1804.68     1716.38     14.7323
         563     1803.39     1716.53     14.7069
         564     1802.27     1716.69     14.6816
         565     1800.92     1716.84     14.6564
         566     1799.33     1716.98     14.6312
         567     1797.73     1717.12     14.6061
         568     1796.11     1717.26     14.5811
         569     1794.26      1717.4     14.5561
         570     1792.18     1717.53     14.5311
         571     1790.51     1717.66     14.5063
         572     1789.03     1717.78     14.4814
         573     1787.55      1717.9     14.4567
         574     1785.84     1718.02      14.432
         575     1784.34     1718.14     14.4073
         576     1782.62     1718.25     14.3828
         577     1781.11     1718.36     14.3582
         578     1779.59     1718.46     14.3338
         579     1778.49     1718.57     14.3094
         580     1776.77     1718.67     14.2851
         581     1775.46     1718.77     14.2608
         582     1773.73     1718.86     14.2366
         583     1772.22     1718.95     14.2125
         584     1770.51     1719.04     14.1885
         585     1769.62     1719.13     14.1645
         586     1768.33     1719.21     14.1405
         587     1766.84     1719.29     14.1167
         588     1764.73     1719.37     14.0929
         589     1763.67     1719.44     14.0692
         590     1761.78     1719.52     14.0455
         591     1760.32     1719.59     14.0219
         592     1758.66     1719.65     13.9984
         593     1756.81     1719.71     13.9749
         594     1755.79     1719.77     13.9515
         595     1754.78     1719.83     13.9282
         596     1753.37     1719.89     13.9049
         597     1752.18     1719.94     13.8817
         598        1751        1720     13.8586
         599     1749.41     1720.05     13.8356
         600     1748.04     1720.09     13.8126
         601     1746.06     1720.14     13.7897
         602     1744.71     1720.18     13.7668
         603     1742.96     1720.21     13.7441
         604     1741.84     1720.25     13.7214
         605     1740.73     1720.28     13.6987
         606     1739.83     1720.32     13.6761
         607     1738.74     1720.35     13.6537
         608     1737.24     1720.37     13.6312
         609     1735.34      1720.4     13.6089
         610     1733.85     1720.42     13.5866
         611     1732.38     1720.44     13.5643
         612     1731.12     1720.46     13.5422
         613     1730.28     1720.47     13.5201
         614     1729.03     1720.49     13.4981
         615     1727.78      1720.5     13.4762
         616     1726.33     1720.51     13.4543
         617     1724.89     1720.52     13.4325
         618     1723.65     1720.52     13.4107
         619     1722.42     1720.52     13.3891
         620     1720.99     1720.52     13.3675
         621     1719.76     1720.52      13.346
         622     1718.54     1720.52     13.3245
         623     1717.31     1720.52     13.3031
         624     1716.29     1720.51     13.2818
         625     1715.07      1720.5     13.2606
         626     1713.63     1720.49     13.2394
         627      1712.4     1720.48     13.2183
         628     1711.16     1720.46     13.1972
         629     1710.13     1720.44     13.1763
         630     1708.68     1720.43     13.1554
         631     1707.22      1720.4     13.1345
         632     1705.76     1720.38     13.1138
         633      1704.5     1720.36     13.0931
         634     1703.45     1720.33     13.0724
         635     1702.17      1720.3     13.0519
         636      1701.1     1720.27     13.0314
         637     1700.23     1720.24      13.011
         638     1698.94     1720.21     12.9906
         639     1697.42     1720.17     12.9703
         640     1696.32     1720.13     12.9501
         641        1695     1720.09       12.93
         642     1693.46     1720.05     12.9099
         643     1692.12     1720.01     12.8899
         644     1690.77     1719.96       12.87
         645     1689.21     1719.92     12.8501
         646     1687.63     1719.87     12.8303
         647     1686.26     1719.81     12.8106
         648     1684.67     1719.76     12.7909
         649     1683.27      1719.7     12.7714
         650     1682.07     1719.65     12.7518
         651     1680.45     1719.59     12.7324
         652     1678.61     1719.52      12.713
         653     1677.18     1719.46     12.6937
         654     1675.74     1719.39     12.6745
         655     1674.29     1719.32     12.6553
         656     1672.83     1719.25     12.6362
         657     1671.16     1719.18     12.6172
         658     1670.11      1719.1     12.5982
         659     1668.63     1719.03     12.5794
         660     1667.35     1718.95     12.5605
         661     1665.24     1718.87     12.5418
         662     1663.12     1718.78     12.5231
         663     1661.62      1718.7     12.5046
         664     1660.12     1718.61      12.486
         665     1658.41     1718.52     12.4676
         666      1656.9     1718.43     12.4492
         667     1654.98     1718.33     12.4309
         668     1653.47     1718.23     12.4127
         669     1652.17     1718.13     12.3945
         670     1650.66     1718.03     12.3764
         671     1649.37     1717.93     12.3584
         672     1647.86     1717.83     12.3405
         673     1646.57     1717.72     12.3226
         674     1645.08     1717.61     12.3048
         675      1643.8      1717.5      12.287
         676     1642.32     1717.39     12.2693
         677     1640.65     1717.28     12.2517
         678     1639.18     1717.16     12.2342
         679     1637.94     1717.05     12.2168
         680     1636.71     1716.93     12.1994
         681     1635.91     1716.81      12.182
         682      1634.7     1716.69     12.1648
         683      1633.3     1716.57     12.1476
         684     1631.92     1716.44     12.1304
         685     1630.97     1716.32     12.1134
         686     1629.42     1716.19     12.0964
         687     1627.88     1716.06     12.0794
         688     1625.95     1715.93     12.0626
