#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         344    -22.5633    -21.2315   0.0314911
         345    -22.5756    -21.2354   0.0316399
         346    -22.5895    -21.2393   0.0317896
         347    -22.6004    -21.2432   0.0319391
         348    -22.6129    -21.2471   0.0320889
         349    -22.6238    -21.2511   0.0322385
         350    -22.6379     -21.255    0.032389
         351    -22.6504     -21.259   0.0325397
         352     -22.663     -21.263   0.0326909
         353    -22.6757     -21.267   0.0328423
         354    -22.6868     -21.271   0.0329935
         355     -22.698     -21.275   0.0331446
         356    -22.7093    -21.2791   0.0332954
         357    -22.7236    -21.2831   0.0334471
         358    -22.7364    -21.2872   0.0335992
         359    -22.7478    -21.2912    0.033751
         360    -22.7592    -21.2953   0.0339027
         361    -22.7691    -21.2994   0.0340537
         362    -22.7821    -21.3035    0.034205
         363    -22.7951    -21.3076   0.0343567
         364    -22.8082    -21.3117   0.0345088
         365    -22.8229    -21.3159   0.0346617
         366     -22.836      -21.32    0.034815
         367    -22.8477    -21.3242   0.0349681
         368    -22.8594    -21.3283   0.0351211
         369    -22.8727    -21.3325   0.0352744
         370    -22.8845    -21.3367   0.0354275
         371    -22.8948    -21.3409   0.0355801
         372    -22.9067    -21.3451   0.0357325
         373    -22.9186    -21.3494   0.0358849
         374    -22.9321    -21.3536   0.0360376
         375     -22.944    -21.3578   0.0361902
         376    -22.9561    -21.3621   0.0363427
         377    -22.9682    -21.3663   0.0364952
         378    -22.9833    -21.3706   0.0366485
         379    -22.9986    -21.3749   0.0368026
         380    -23.0108    -21.3792   0.0369567
         381    -23.0245    -21.3835   0.0371111
         382    -23.0368    -21.3879   0.0372655
         383    -23.0537    -21.3922   0.0374212
         384    -23.0661    -21.3966   0.0375767
         385    -23.0816    -21.4009   0.0377331
         386    -23.0955    -21.4053   0.0378899
         387     -23.108    -21.4097   0.0380466
         388    -23.1206    -21.4141   0.0382032
         389    -23.1362    -21.4186   0.0383606
         390    -23.1503     -21.423   0.0385184
         391     -23.163    -21.4275   0.0386761
         392    -23.1757    -21.4319   0.0388337
         393    -23.1884    -21.4364   0.0389913
         394    -23.2012    -21.4409   0.0391487
         395    -23.2171    -21.4454    0.039307
         396      -23.23    -21.4499   0.0394653
         397    -23.2429    -21.4544   0.0396234
         398    -23.2589    -21.4589   0.0397824
         399    -23.2734    -21.4635   0.0399418
         400    -23.2865     -21.468   0.0401011
         401    -23.2995    -21.4726   0.0402604
         402    -23.3126    -21.4772   0.0404196
         403    -23.3258    -21.4818   0.0405788
         404    -23.3405    -21.4864   0.0407383
         405    -23.3569     -21.491   0.0408987
         406    -23.3701    -21.4956    0.041059
         407    -23.3835    -21.5002   0.0412193
         408    -23.3984    -21.5049     0.04138
         409    -23.4118    -21.5096   0.0415407
         410    -23.4268    -21.5142   0.0417017
         411    -23.4418    -21.5189   0.0418631
         412    -23.4554    -21.5236   0.0420246
         413     -23.472    -21.5283   0.0421868
         414    -23.4857    -21.5331    0.042349
         415    -23.5009    -21.5378   0.0425116
         416    -23.5146    -21.5426   0.0426741
         417    -23.5284    -21.5473   0.0428367
         418    -23.5437    -21.5521   0.0429996
         419    -23.5576    -21.5569   0.0431625
         420     -23.573    -21.5617   0.0433259
         421    -23.5885    -21.5665   0.0434896
         422    -23.6055    -21.5713   0.0436541
         423    -23.6196    -21.5762   0.0438187
         424    -23.6352     -21.581   0.0439836
         425    -23.6508    -21.5859   0.0441489
         426    -23.6681    -21.5908    0.044315
         427    -23.6823    -21.5957   0.0444811
         428    -23.6996    -21.6006   0.0446479
         429    -23.7154    -21.6055   0.0448152
         430    -23.7313    -21.6105   0.0449828
         431    -23.7457    -21.6154   0.0451504
         432    -23.7601    -21.6204    0.045318
         433    -23.7777    -21.6254   0.0454864
         434    -23.7922    -21.6304   0.0456548
         435    -23.8068    -21.6354   0.0458231
         436    -23.8245    -21.6404   0.0459923
         437    -23.8407    -21.6454   0.0461618
         438    -23.8585    -21.6505   0.0463321
         439    -23.8732    -21.6556   0.0465024
         440    -23.8911    -21.6606   0.0466735
         441    -23.9075    -21.6657   0.0468449
         442    -23.9239    -21.6708   0.0470167
         443    -23.9389     -21.676   0.0471885
         444    -23.9554    -21.6811   0.0473607
         445     -23.972    -21.6862   0.0475332
         446    -23.9886    -21.6914   0.0477061
